URL,Classification
Links,unknown
https://02shishirareddy.blogspot.com/2021/06/a-32-year-old-male-with-chief.html,non-cardiac
https://03saitarun.blogspot.com/2021/08/03-sai-tarun-24-08-21.html,non-cardiac
https://04kavyasreekaluvala.blogspot.com/2021/08/general-medicine-e-log-aug-07082021.html,cardiac
https://06akhil.blogspot.com/2021/11/general-medicine-case-4.html,non-cardiac
https://102-crazymandadi.blogspot.com/2021/10/70-year-old-male-with-acute-on-chronic.html,non-cardiac
https://102-crazymandadi.blogspot.com/2021/11/15-year-old-female-with-common-variable.html,non-cardiac
https://102-crazymandadi.blogspot.com/2021/11/47-yr-male-with-ckd-diabetic.html,cardiac
https://102-crazymandadi.blogspot.com/2021/12/is-online-e-log-book-to-discuss-our.html,non-cardiac
https://127rohithsomani.blogspot.com/2021/06/medicine-case-discussion-9th-june-2021.html,non-cardiac
https://12avirnenivaishnavi.blogspot.com/2021/06/50y-old-male-with-heart-failure.html,cardiac
https://135kowshikreddy.blogspot.com/,non-cardiac
https://143vibhahegde.blogspot.com/2021/05/covid-in-26-yo-female.html,unknown
https://143vibhahegde.blogspot.com/2021/05/wernickes-encephalopathy.html,unknown
https://144varshithakalidindi.blogspot.com/2021/08/46m-with-peripheral-neuropathy.html,non-cardiac
https://157divyasri.blogspot.com/2022/02/cbble-udhc-similar-cases.html,cardiac
https://1601006025.blogspot.com/2021/07/45-year-old-male-patient-with-right.html,unknown
https://1601006046.blogspot.com/2021/07/medicine-62-year-old-female-homemaker.html,unknown
https://166sasirakasinadhuni.blogspot.com/2021/05/viral-pneumonia-secondary-to-covid-19.html,non-cardiac
https://1701006181kims6sem.blogspot.com/2021/05/medicine-case-discussion.html,unknown
https://171mkfarhanelogcases.blogspot.com/2021/12/a-60-year-old-male-with-acute-on.html,non-cardiac
https://186akshithareddy.blogspot.com/2021/12/80-year-old-male-with-sob-and-cough.html,non-cardiac
https://2018-21batchpgy3gmpracticals.blogspot.com/2021/08/18100006006-case-presentations.html,non-cardiac
https://2018-21batchpgy3gmpracticals.blogspot.com/2021/08/pg-final-year-2k18-21-batchuniversity.html,non-cardiac
https://21-divyaraju123.blogspot.com/2021/05/case-discussion-on-viral-pneumonia.html,non-cardiac
https://22bangarilaxmiraj.blogspot.com/,non-cardiac
https://41srujini.blogspot.com/2021/05/medicine-elog.html,non-cardiac
https://49immaniaasritha.blogspot.com/2021/07/49-aasritha-gm-52-year-male-with-llr.html,cardiac
https://52-santoshkumar.blogspot.com/2021/10/a-case-of-ckd.html,non-cardiac
https://60shirisha.blogspot.com/2021/06/medicine-case-discussion_14.html,cardiac
https://61tejarshini.blogspot.com/2021/06/medicine-case-discussion.html,cardiac
https://63konakanchihyndavi.blogspot.com/,non-cardiac
https://63konakanchihyndavi.blogspot.com/2021/05/case-discussion-on-liver-abcess.html,cardiac
https://63konakanchihyndavi.blogspot.com/2021/05/case-discussion-on-pancreatitis-with.html,non-cardiac
https://63konakanchihyndavi.blogspot.com/2021/10/a-case-discussion-on-chronic-liver.html,cardiac
https://67ankithareddy.blogspot.com/2021/10/ankitha-reddy-roll-no-67.html,cardiac
https://736146.blogspot.com/2021/08/patient-name-bauhinia-purpurea-l-6-age_28.html,unknown
https://93deepanandikonda.blogspot.com/2021/05/42-years-female-patient-with-viral.html,cardiac
https://93harika.blogspot.com/2021/10/28yr-old-female.html,non-cardiac
https://93harika.blogspot.com/2021/10/42-yr-old-male-electrician-came-to.html,cardiac
https://93harika.blogspot.com/2021/11/75-yr-old-male.html,non-cardiac
https://93harika.blogspot.com/2021/12/ckd-ward-38yr-old-male.html,non-cardiac
https://aakansharaj.blogspot.com/2020/11/55-year-old-male-with-anemia.html,cardiac
https://abhigna1317.blogspot.com/2021/08/general-medicine-case-1.html,non-cardiac
https://abhigna1317.blogspot.com/2021/12/case-8.html,non-cardiac
https://abhignyareddy71.blogspot.com/2021/05/51-year-old-female-with-difficulty-in.html,unknown
https://abhinavyarragunta.blogspot.com/2022/02/this-is-online-e-log-book-to-discuss.html,cardiac
https://achalram1512.blogspot.com/2021/08/45-year-old-female.html,non-cardiac
https://achalram1512.blogspot.com/2021/08/admission-65-year-old-male-from.html,non-cardiac
https://achalram1512.blogspot.com/2021/09/65-year-old-male.html,non-cardiac
https://ailanibyogita.blogspot.com/2021/05/medical-case-discussion-this-is-e-log.html,non-cardiac
https://aishwaryagannoji35.blogspot.com/2021/09/45-year-old-female-with-vomiting-since.html,non-cardiac
https://aitharaveena.blogspot.com/2021/05/50-yr-old-female-with-fever-and-malaise.html,non-cardiac
https://ajithkumar9600.blogspot.com/2021/07/involuntary-movements-of-choreoathetoid.html,non-cardiac
https://akanksha-poddaturi.blogspot.com/2021/12/68-year-old-female-patient-came-with.html,non-cardiac
https://akanksha-poddaturi.blogspot.com/2021/12/this-is-online-e-log-book-to-discuss.html,non-cardiac
https://akanksha-poddaturi.blogspot.com/2022/02/55-year-old-female-with-kco-dvt-came.html,non-cardiac
https://akshara84.blogspot.com/2021/08/a-36-year-old-female-with-dengue-ns1.html,non-cardiac
https://akshithakasani81.blogspot.com/2021/08/general-medicine-case.html,cardiac
https://akshithakasani81.blogspot.com/2021/09/general-medicine-case-discussions_21.html,cardiac
https://akshithakasani81.blogspot.com/2021/09/general-medicine-case-discussions.html,non-cardiac
